desti,from,gpa,result
"利物浦大学
University of Liverpool","","",""
"","","","申请成功"
"","德蒙福特大学","",""
"赫瑞瓦特大学
Heriot-Watt University","","",""
"","","","申请成功"
"","","","申请失败"
"","中国劳动关系学院","",""
"","","","申请失败"
"曼彻斯特大学
The University of Manchester","","",""
"","南京审计大学","",""
"","朴次茅斯大学","",""
"","","82.8",""
"","对外经济贸易大学","",""
"","","","申请失败"
"卡迪夫大学
Cardiff University","","",""
"","哈德斯菲尔德大学","",""
"","","","申请失败"
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","82",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"雷丁大学
University of Reading","","",""
"","","","申请失败"
"萨塞克斯大学
University of Sussex","","",""
"","","","申请成功"
"","堪萨斯大学","",""
"","","","申请成功"
"","河北工业大学","",""
"","南开大学","",""
"兰卡斯特大学
Lancaster University","","",""
"威斯敏斯特大学
University of Westminster","","",""
"","","85",""
"","","","申请成功"
"","","","申请成功"
"","","2.7",""
"","","89",""
"","","","申请成功"
"诺丁汉特伦特大学
Nottingham Trent University","","",""
"爱丁堡大学
The University of Edinburgh","","",""
"","","","申请成功"
"","","","申请成功"
"","","3.65",""
"南安普顿大学
University of Southampton","","",""
"","","","申请失败"
"约克大学
University of York","","",""
"利兹大学
University of Leeds","","",""
"","四川大学","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","","","申请失败"
"","","2.83",""
"","","","申请成功"
"","","","申请失败"
"","","3.1",""
"利物浦大学
University of Liverpool","","",""
"","","2.91",""
"","","","申请成功"
"","","","申请失败"
"谢菲尔德大学
The University of Sheffield","","",""
"","","80",""
"昆士兰大学
The University of Queensland","","",""
"","","4.187",""
"","宁波诺丁汉大学","",""
"卡迪夫大学
Cardiff University","","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"","吉林大学珠海学院","",""
"","","","申请成功"
"","","","申请成功"
"","河南财经政法大学","",""
"","","3.5",""
"","","","申请成功"
"","","","申请成功"
"","","","申请失败"
"","","","申请失败"
"","洛克里奇中学","",""
"","中山大学","",""
"","北京师范大学-香港浸会大学联合国际学院","",""
"利兹大学
University of Leeds","","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","绍兴文理学院","",""
"","宁波诺丁汉大学","",""
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"","","申请时无合办项目成绩",""
"","","申请时无海外学生成绩",""
"纽卡斯尔大学
Newcastle University","","",""
"","济南大学","",""
"","皖西学院","",""
"肯特大学
University of Kent","","",""
"","","","申请失败"
"","北京师范大学珠海分校","",""
"悉尼大学
The University of Sydney","","",""
"邓迪大学
University of Dundee","","",""
"利物浦大学
University of Liverpool","","",""
"","","89",""
"","","80",""
"","","","申请失败"
"","","2.82",""
"","北京工业大学","",""
"贝尔法斯特女王大学
Queen＇s University Belfast","","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"南安普顿大学
University of Southampton","","",""
"","","","申请成功"
